"country","fulladdress","galleryname","id","openinghours","lat","placeurl","gallery_img","city"
"France"," 22 Av. Pierre 1er de Serbie, 75116 Paris, France","Galerie 208",3450,"Monday: 10:00 AM - 6:00 PM; Tuesday: 10:00 AM - 6:00 PM; Wednesday: 10:00 AM - 6:00 PM; Thursday: 10:00 AM - 6:00 PM; Friday: 10:00 AM - 6:00 PM; Saturday: Closed; Sunday: Closed",48.86701610000001,"https://galerie208.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/dadb08309b8c4737a49ecf4a10d1e244.jpg","Paris"
"France","8 rue Bonaparte, 75006 Paris France","Galerie 1900-2000 Paris",3449,"Monday: 14:00 - 7:00 PM; Tuesday: 10:00 AM - 12:30 PM, 14:00 - 7:00 PM; Wednesday: 10:00 AM - 12:30 PM, 14:00 - 7:00 PM; Thursday: 10:00 AM - 12:30 PM, 14:00 - 7:00 PM; Friday: 10:00 AM - 12:30 PM, 14:00 - 7:00 PM; Saturday: 14:00 - 7:00 PM; Sunday: Closed",48.85703110000001,"https://galerie1900-2000.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/475fc82521154a7aa2aebc144e3609b5.jpg","Paris"
"France","4 rue du Pont Louis-Philippe, 75004 Paris France","Gadcollection",3448,"Monday: Closed; Tuesday: 14:00 - 7:00 PM; Wednesday: 14:00 - 7:00 PM; Thursday: 14:00 - 7:00 PM; Friday: 14:00 - 7:00 PM; Saturday: 14:30 - 7:00 PM; Sunday: 14:30 - 7:00 PM",48.8546491,"https://www.gadcollection.com/","s3://artflaneur-assets/gallery_address_photos/9957bdcd6c1942f8ad1508792bc2dd48.jpeg","Paris"
"France","9 rue de Thorigny 75003 Paris France","Florence Loewy",3447,"Monday: Closed; Tuesday: 14:00 - 7:00 PM; Wednesday: 14:00 - 7:00 PM; Thursday: 14:00 - 7:00 PM; Friday: 14:00 - 7:00 PM; Saturday: 14:00 - 7:00 PM; Sunday: Closed",48.8599676,"https://www.florenceloewy.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/ad1c057b6fbd4d9f8f062eafef5792ee.jpg","Paris"
"France","4 rue Malher 5, 75004, Paris","Espace Meyer Zafra",3446,"Monday: Closed; Tuesday: 11:00 AM - 7:00 PM; Wednesday: 11:00 AM - 7:00 PM; Thursday: 11:00 AM - 7:00 PM; Friday: 11:00 AM - 7:00 PM; Saturday: 11:00 AM - 7:00 PM; Sunday: Closed",48.85557999999999,"http://www.espace-zafra.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/3c706b530cdb413a90a34520dca56e7e.jpg","Paris"
"France","16 Place Vendôme 75001 Paris France","Esther Schipper Paris",3445,"Monday: Closed; Tuesday: 11:00 AM - 6:00 PM; Wednesday: 11:00 AM - 6:00 PM; Thursday: 11:00 AM - 6:00 PM; Friday: 11:00 AM - 6:00 PM; Saturday: 11:00 AM - 6:00 PM; Sunday: Closed",48.8671843,"https://www.estherschipper.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/6c6a067e65d64f02b1108b57a4e31e87.jpeg","Paris"
"France","11 rue Michel Le Comte 75003 Paris France","Galerie Eva Meyer",3443,"Monday: Open 24/7; Tuesday: Open 24/7; Wednesday: Open 24/7; Thursday: Open 24/7; Friday: Open 24/7; Saturday: Open 24/7; Sunday: Closed",48.8620713,"http://galerieevameyer.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/deb6b480ddef49ba8392db3fd704101e.jpg","Paris"
"France","17 rue Guénégaud, 75006 Paris","Galerie Da End",3442,"Monday: Closed; Tuesday: 14:00 - 7:00 PM; Wednesday: 14:00 - 7:00 PM; Thursday: 14:00 - 7:00 PM; Friday: 14:00 - 7:00 PM; Saturday: 14:00 - 7:00 PM; Sunday: Closed",48.8557686,"https://www.da-end.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/8e03fb707f7e4f35a938a606dffb6a1c.jpg","Paris"
"France","19, rue Charlemagne, 75004 Paris","Galerie Binôme",3441,"Monday: Closed; Tuesday: 13:00 - 7:00 PM; Wednesday: 13:00 - 7:00 PM; Thursday: 13:00 - 7:00 PM; Friday: 13:00 - 7:00 PM; Saturday: 13:00 - 7:00 PM; Sunday: Closed",48.854194,"https://galeriebinome.com/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/d4aa80a856b04bcda4652c9c84fddc64.jpg","Paris"
"France","33 All. Léon Gambetta, 13001 Marseille, France","Fotokino",3440,"Monday: Closed; Tuesday: 14:00 - 6:30 PM; Wednesday: 14:00 - 6:30 PM; Thursday: 14:00 - 6:30 PM; Friday: 14:00 - 6:30 PM; Saturday: 14:00 - 6:30 PM; Sunday: Closed",43.2993159,"https://fotokino.org/","https://dkhqdirp0wrr3.cloudfront.net/gallery_address_photos/193d67725c32443c95d6613da7e9c262.jpg","Marseille"
